time,util,nor_util,power,TDP,TDP_power
0,0,0,46.43650279,280,196
1,0,0,46.43650279,280,196
2,1,0.0078125,50.55352377,280,196.65625
3,0,0,46.43650279,280,196
4,1,0.0078125,50.55352377,280,196.65625
5,0,0,46.43650279,280,196
6,1,0.0078125,50.55352377,280,196.65625
7,0,0,46.43650279,280,196
8,0,0,46.43650279,280,196
9,0,0,46.43650279,280,196
10,8.2,0.0640625,76.58891181,280,201.38125
11,0,0,46.43650279,280,196
12,0,0,46.43650279,280,196
13,0,0,46.43650279,280,196
14,0,0,46.43650279,280,196
15,13,0.1015625,90.66409171,280,204.53125
16,10,0.078125,82.15935727,280,202.5625
17,10,0.078125,82.15935727,280,202.5625
18,10,0.078125,82.15935727,280,202.5625
19,10,0.078125,82.15935727,280,202.5625
20,10,0.078125,82.15935727,280,202.5625
21,10,0.078125,82.15935727,280,202.5625
22,1,0.0078125,50.55352377,280,196.65625
23,0,0,46.43650279,280,196
24,0,0,46.43650279,280,196
25,0,0,46.43650279,280,196
26,0,0,46.43650279,280,196
27,0,0,46.43650279,280,196
28,22.8,0.178125,112.238024,280,210.9625
29,20,0.15625,106.9819247,280,209.125
30,20,0.15625,106.9819247,280,209.125
31,20,0.15625,106.9819247,280,209.125
32,20,0.15625,106.9819247,280,209.125
33,20,0.15625,106.9819247,280,209.125
34,20,0.15625,106.9819247,280,209.125
35,1,0.0078125,50.55352377,280,196.65625
36,0,0,46.43650279,280,196
37,0,0,46.43650279,280,196
38,1,0.0078125,50.55352377,280,196.65625
39,0,0,46.43650279,280,196
40,32.3,0.25234375,125.3737759,280,217.196875
41,30,0.234375,122.8067531,280,215.6875
42,30,0.234375,122.8067531,280,215.6875
43,30,0.234375,122.8067531,280,215.6875
44,30,0.234375,122.8067531,280,215.6875
45,29.7,0.23203125,122.4447474,280,215.490625
46,26.3,0.20546875,117.8797733,280,213.259375
47,0,0,46.43650279,280,196
48,0,0,46.43650279,280,196
49,0,0,46.43650279,280,196
50,0,0,46.43650279,280,196
51,43,0.3359375,133.0561502,280,224.21875
52,40,0.3125,131.5363903,280,222.25
53,40,0.3125,131.5363903,280,222.25
54,40,0.3125,131.5363903,280,222.25
55,40,0.3125,131.5363903,280,222.25
56,40,0.3125,131.5363903,280,222.25
57,1,0.0078125,50.55352377,280,196.65625
58,0,0,46.43650279,280,196
59,0,0,46.43650279,280,196
60,0,0,46.43650279,280,196
61,52.5,0.41015625,135.3692373,280,230.453125
62,50,0.390625,135.0733844,280,228.8125
63,50,0.390625,135.0733844,280,228.8125
64,50,0.390625,135.0733844,280,228.8125
65,50,0.390625,135.0733844,280,228.8125
66,50,0.390625,135.0733844,280,228.8125
67,50,0.390625,135.0733844,280,228.8125
68,2,0.015625,54.54441895,280,197.3125
69,0,0,46.43650279,280,196
70,0,0,46.43650279,280,196
71,0,0,46.43650279,280,196
72,50.5,0.39453125,135.1480542,280,229.140625
73,60,0.46875,135.3202833,280,235.375
74,60,0.46875,135.3202833,280,235.375
75,60,0.46875,135.3202833,280,235.375
76,60,0.46875,135.3202833,280,235.375
77,60,0.46875,135.3202833,280,235.375
78,60.4,0.471875,135.2886349,280,235.6375
79,60,0.46875,135.3202833,280,235.375
80,50.5,0.39453125,135.1480542,280,229.140625
81,0,0,46.43650279,280,196
82,0,0,46.43650279,280,196
83,0,0,46.43650279,280,196
84,0,0,46.43650279,280,196
85,72,0.5625,133.9524238,280,243.25
86,70,0.546875,134.179635,280,241.9375
87,70,0.546875,134.179635,280,241.9375
88,70.3,0.54921875,134.1438681,280,242.134375
89,70,0.546875,134.179635,280,241.9375
90,70,0.546875,134.179635,280,241.9375
91,4,0.03125,62.15544209,280,198.625
92,0,0,46.43650279,280,196
93,0,0,46.43650279,280,196
94,0,0,46.43650279,280,196
95,82.8,0.646875,133.7302059,280,250.3375
96,80,0.625,133.5539873,280,248.5
97,80,0.625,133.5539873,280,248.5
98,80,0.625,133.5539873,280,248.5
99,80,0.625,133.5539873,280,248.5
100,44.6,0.3484375,133.6933363,280,225.26875
101,0,0,46.43650279,280,196
102,0,0,46.43650279,280,196
103,0,0,46.43650279,280,196
104,0,0,46.43650279,280,196
105,46.5,0.36328125,134.3070715,280,226.515625
106,90,0.703125,135.3458884,280,255.0625
107,90,0.703125,135.3458884,280,255.0625
108,90,0.703125,135.3458884,280,255.0625
109,90,0.703125,135.3458884,280,255.0625
110,90,0.703125,135.3458884,280,255.0625
111,90,0.703125,135.3458884,280,255.0625
112,90,0.703125,135.3458884,280,255.0625
113,90,0.703125,135.3458884,280,255.0625
114,82.8,0.646875,133.7302059,280,250.3375
115,0,0,46.43650279,280,196
116,0,0,46.43650279,280,196
117,0,0,46.43650279,280,196
118,72.3,0.56484375,133.9210597,280,243.446875
119,100,0.78125,141.4578861,280,261.625
120,100,0.78125,141.4578861,280,261.625
121,100,0.78125,141.4578861,280,261.625
122,100,0.78125,141.4578861,280,261.625
123,100,0.78125,141.4578861,280,261.625
124,100,0.78125,141.4578861,280,261.625
125,100,0.78125,141.4578861,280,261.625
126,100,0.78125,141.4578861,280,261.625
127,60,0.46875,135.3202833,280,235.375
128,0,0,46.43650279,280,196
129,8.1,0.06328125,76.26886443,280,201.315625
130,0,0,46.43650279,280,196
131,0,0,46.43650279,280,196
